word	valence	arousal	dominance	goodness	energy	structure	power	danger
billiards	0.14298	0.059034	-0.113155	0.060201	-0.035442	0.178472	0.017507	-0.067629
billies	-0.01002	-0.102966	-0.125155	-0.053528	-0.151199	0.025295	-0.144764	-0.069064
billing	-0.09402	-0.018966	0.169845	0.003392	0.091422	-0.172271	0.067043	0.062246
billings	-0.09402	-0.018966	0.169845	0.003392	0.091422	-0.172271	0.067043	0.062246
billion	0.21898	0.064034	0.281845	0.315248	0.17069	-0.054523	0.34361	-0.102218
billionaire	0.30598	0.167034	0.422845	0.442885	0.318228	-0.053907	0.538188	-0.088146
billionaires	0.30598	0.167034	0.422845	0.442885	0.318228	-0.053907	0.538188	-0.088146
billions	0.21898	0.064034	0.281845	0.315248	0.17069	-0.054523	0.34361	-0.102218
bills	-0.10402	-0.097966	0.034845	-0.058437	-0.045345	-0.127125	-0.073384	0.009258
billy	-0.01002	-0.102966	-0.125155	-0.053528	-0.151199	0.025295	-0.144764	-0.069064
bimbo	-0.10402	-0.129966	-0.200155	-0.166788	-0.199139	0.017293	-0.258749	-0.022876
bimbos	-0.10402	-0.129966	-0.200155	-0.166788	-0.199139	0.017293	-0.258749	-0.022876
bimonthlies	-0.09202	-0.201966	-0.029155	-0.063352	-0.167757	-0.133986	-0.163418	-0.073826
bimonthly	-0.09202	-0.201966	-0.029155	-0.063352	-0.167757	-0.133986	-0.163418	-0.073826
bin	-0.07802	-0.195966	-0.173155	-0.121478	-0.243102	-0.024841	-0.257797	-0.086001
binaries	-0.01002	-0.143966	-0.080155	-0.025742	-0.160631	-0.028043	-0.131786	-0.095381
binary	-0.01002	-0.143966	-0.080155	-0.025742	-0.160631	-0.028043	-0.131786	-0.095381
bind	-0.10202	-0.037966	-0.052155	-0.107551	-0.043324	-0.033548	-0.106685	0.045416
binder	-0.06202	-0.249966	-0.192155	-0.108742	-0.300506	-0.033534	-0.289382	-0.135598
binderies	0.04798	-0.111966	-0.018155	0.04942	-0.109871	-0.025575	-0.042746	-0.112636
binders	-0.06202	-0.249966	-0.192155	-0.108742	-0.300506	-0.033534	-0.289382	-0.135598
bindery	0.04798	-0.111966	-0.018155	0.04942	-0.109871	-0.025575	-0.042746	-0.112636
binding	-0.06202	-0.074966	0.139845	0.024951	0.023852	-0.166828	0.034509	-0.000777
bindings	-0.06202	-0.074966	0.139845	0.024951	0.023852	-0.166828	0.034509	-0.000777
binds	-0.10202	-0.037966	-0.052155	-0.107551	-0.043324	-0.033548	-0.106685	0.045416
bing	0.07298	-0.046966	-0.085155	0.029051	-0.096552	0.067949	-0.04773	-0.088815
binge	-0.19602	0.150034	-0.000155	-0.191779	0.154966	-0.011849	-0.026031	0.245186
binges	-0.19602	0.150034	-0.000155	-0.191779	0.154966	-0.011849	-0.026031	0.245186
bingo	0.23498	0.167034	-0.071155	0.14375	0.061756	0.25239	0.145315	-0.057979
bings	0.07298	-0.046966	-0.085155	0.029051	-0.096552	0.067949	-0.04773	-0.088815
binocular	0.03098	-0.155966	-0.074155	0.014349	-0.173819	-0.019113	-0.112762	-0.133055
binoculars	-0.01002	-0.190966	-0.089155	-0.023056	-0.204287	-0.047459	-0.160756	-0.128149
binomial	0.09998	-0.093966	-0.074155	0.064685	-0.133672	0.047668	-0.048781	-0.140259
binomials	0.09998	-0.093966	-0.074155	0.064685	-0.133672	0.047668	-0.048781	-0.140259
bins	-0.07802	-0.195966	-0.173155	-0.121478	-0.243102	-0.024841	-0.257797	-0.086001
bio	0.11198	-0.274966	-0.010155	0.132888	-0.250224	-0.089318	-0.082969	-0.270901
biochemical	-0.13302	-0.018966	0.117845	-0.055324	0.069453	-0.155103	0.009991	0.088231
biochemicals	-0.13302	-0.018966	0.117845	-0.055324	0.069453	-0.155103	0.009991	0.088231
biochemist	-0.02902	-0.050966	0.216845	0.086936	0.080131	-0.191004	0.118135	-0.004812
biochemistry	0.05198	0.031034	0.095845	0.0864	0.069271	-0.024247	0.110076	-0.012112
biochemists	-0.02902	-0.050966	0.216845	0.086936	0.080131	-0.191004	0.118135	-0.004812
biogenesis	0.09398	-0.057966	0.196845	0.184587	0.043895	-0.122234	0.161561	-0.099484
biographer	0.20798	-0.072966	0.116845	0.246775	-0.030032	-0.020802	0.15326	-0.195732
biographers	0.20798	-0.072966	0.116845	0.246775	-0.030032	-0.020802	0.15326	-0.195732
biographies	0.19798	-0.270966	0.217845	0.316327	-0.137043	-0.203055	0.126773	-0.320581
biography	0.19798	-0.270966	0.217845	0.316327	-0.137043	-0.203055	0.126773	-0.320581
biological	0.08998	-0.089966	0.114845	0.146436	-0.02632	-0.085108	0.084934	-0.122157
biologist	0.12498	-0.046966	0.192845	0.207793	0.045857	-0.098662	0.179358	-0.114506
biologists	0.12498	-0.046966	0.192845	0.207793	0.045857	-0.098662	0.179358	-0.114506
biology	-0.02102	-0.225966	0.045845	0.037659	-0.158225	-0.164775	-0.085253	-0.138511
bionic	0.07098	0.070034	0.287845	0.189415	0.202499	-0.126149	0.277125	0.009252
biopsies	-0.17702	0.157034	-0.019155	-0.185561	0.147411	0.014136	-0.026977	0.235447
biopsy	-0.17702	0.157034	-0.019155	-0.185561	0.147411	0.014136	-0.026977	0.235447
bios	0.11198	-0.274966	-0.010155	0.132888	-0.250224	-0.089318	-0.082969	-0.270901
biosphere	0.18398	-0.148966	0.078845	0.219102	-0.109507	-0.047523	0.077496	-0.232362
biospheres	0.18398	-0.148966	0.078845	0.219102	-0.109507	-0.047523	0.077496	-0.232362
bipartite	-0.13502	-0.019966	-0.036155	-0.131038	-0.014536	-0.050536	-0.102937	0.08238
